"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","Jigsaw","Name","NumberOfEmployees","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","TestNumber__c","Type","Website"
05b4576a-87cb-4c50-b5ca-7561c91943db,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",HDFC Bank Account 11,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",www.facenook.com
1647ad5e-e48e-49c2-b5c7-7e909e52f136,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Syndicate Bank,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1b12026f-4aa9-4880-a845-150dde4d7ca1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",NEt Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
22252608-5ca0-43ad-a168-cb6349af8d61,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Axis new Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
27790e15-9070-4fda-8366-56402c1e9817,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",PO Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
28dcf2e5-6e67-44ec-8438-2449ebf695f2,"#N/A",2112121.0,Jaipur,India,"#N/A","#N/A","#N/A",302020,rajasthan,Kalyan,"#N/A",(545) 454-5454,Government,"#N/A",ICICI Bank Account,5,(773) 748-2074,false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,Jaipur,India,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Competitor,www.facenook.com
31fcd1eb-7977-4cc1-9b31-5e75b26c00cc,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",PO Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4931a7cd-5c66-42bf-8d94-aeb6f0927ad3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",PNB Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
62d21d97-5c18-4f46-951e-f83d84edcab1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Axis new Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
630faa66-2f3d-468c-ad06-85c2eb0f75f4,"#N/A",2112121.0,Jaipur,India,"#N/A","#N/A","#N/A",302020,rajasthan,Kalyan,"#N/A",(545) 454-5454,Government,"#N/A",ICICI Bank Account,5,(773) 748-2074,false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,Jaipur,India,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Competitor,www.facenook.com
881108eb-3925-4761-9e0c-582e63befea8,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Neo Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
8c9af15c-254a-4168-abc0-ef7d0f46d2d8,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Neo Bank Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
8cecae8c-54e4-4cd3-806d-38f554d8cb9e,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",NEt Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
90c8dfac-b825-4078-8963-2d8e481b9a2c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",NEt Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
aedb4ad2-f9ea-4dad-9c28-d84d695468f5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",HDFC Bank Account 11,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",www.facenook.com
bc4b30c6-9d5a-4e63-8c76-df2d95c2f0b6,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Syndicate Bank,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
ed301cd1-b557-473b-a4d1-8bf5c85907c5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",PNB Account,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
